material,temperature_c,pressure_bar,ph,sulfur_ppm,flow_velocity_ms,service_years,corrosion_rate_mmpy
Inconel,182.5,50.9,6.23,658,2.24,4,0.63
SS304,178.9,37.0,4.64,557,3.82,13,1.07
SS316,185.2,44.3,6.41,465,4.06,12,0.74
SS316,166.9,44.2,5.9,672,3.83,1,0.79
Alloy Steel,222.9,47.1,5.69,140,1.85,13,0.89
SS304,225.1,36.8,4.89,200,3.58,12,0.94
Inconel,240.9,44.3,5.07,552,3.45,10,0.96
Carbon Steel,217.5,25.3,6.01,325,4.33,2,1.05
SS316,211.8,38.8,5.87,507,3.18,12,0.85
Inconel,181.4,40.4,4.63,686,1.82,10,0.9
Alloy Steel,146.6,26.2,4.85,513,4.06,6,1.09
SS316,187.7,34.0,5.7,398,3.24,6,0.74
SS304,269.9,38.7,5.91,648,1.77,6,0.94
Inconel,154.5,49.4,4.3,495,2.32,3,0.8
Carbon Steel,155.8,41.0,4.46,623,3.02,8,1.28
Alloy Steel,156.0,54.9,5.31,308,3.63,6,0.94
Inconel,218.4,25.7,5.55,335,3.23,6,0.71
SS316,243.0,31.4,4.58,289,4.43,2,0.99
Carbon Steel,198.4,44.9,5.47,410,2.8,10,1.12
SS316,212.3,49.6,5.62,124,2.45,7,0.65
SS316,181.0,35.7,6.65,526,2.39,3,0.59
SS304,269.1,50.6,6.21,335,3.01,7,0.82
SS304,255.5,33.3,6.62,318,4.07,1,0.74
SS316,245.2,37.7,5.54,321,3.72,12,0.9
Alloy Steel,246.9,46.7,4.73,302,2.91,2,1.12
SS304,244.7,38.2,6.11,475,4.06,12,0.93
SS304,171.6,43.4,5.33,142,2.96,8,0.7
SS304,262.3,28.6,5.37,646,3.94,6,1.1
SS304,192.9,42.3,6.26,294,3.65,6,0.68
Carbon Steel,189.1,52.9,6.28,359,2.98,12,0.98
SS316,272.1,40.8,5.6,376,2.48,8,0.88
Carbon Steel,224.4,54.6,6.64,617,4.17,14,1.17
Inconel,199.9,51.4,6.7,635,3.66,11,0.69
Inconel,236.5,53.2,4.85,421,3.57,14,0.96
Inconel,177.6,48.3,5.64,496,2.47,13,0.71
Carbon Steel,190.4,53.2,5.59,457,1.59,5,1.02
SS316,242.7,37.3,5.12,344,2.73,2,0.86
Inconel,249.8,30.6,5.85,590,3.42,12,0.88
SS304,157.7,53.0,5.77,495,2.71,9,0.76
Inconel,155.2,53.0,5.07,231,2.99,10,0.65
Alloy Steel,259.6,30.2,4.9,271,2.31,5,1.1
SS304,144.2,48.1,5.82,460,3.14,3,0.69
SS304,270.9,25.3,4.32,214,2.0,10,1.03
SS304,234.7,46.1,6.07,537,1.5,13,0.84
Inconel,277.8,50.0,5.42,432,4.03,9,0.94
SS304,257.2,27.8,6.12,675,3.54,1,0.94
Alloy Steel,197.8,51.3,4.53,625,3.04,1,1.2
Carbon Steel,150.7,40.0,5.99,575,3.25,5,1.02
Alloy Steel,217.7,48.9,4.21,478,3.29,6,1.27
SS316,215.2,52.3,6.4,176,1.78,3,0.51
SS304,195.0,33.7,6.34,370,3.0,11,0.71
Alloy Steel,264.6,36.5,6.12,385,1.87,12,1.0
Inconel,171.3,26.7,6.27,192,3.38,12,0.51
SS316,157.7,37.4,4.24,604,3.04,12,1.03
Alloy Steel,209.0,52.4,5.47,370,2.1,9,0.98
SS304,256.6,37.1,6.06,626,2.15,14,0.96
Inconel,185.8,32.3,4.64,564,1.89,7,0.84
SS304,248.1,38.0,5.06,207,3.8,3,0.91
SS316,181.5,33.4,4.58,273,2.43,5,0.81
Alloy Steel,246.2,31.7,4.4,586,4.43,8,1.4
SS304,178.9,54.9,6.52,408,3.98,14,0.74
SS316,152.3,50.4,6.1,466,3.96,10,0.71
Inconel,227.7,48.9,6.72,380,3.22,6,0.57
Alloy Steel,266.3,51.3,6.28,666,1.8,4,1.04
Alloy Steel,250.8,32.8,5.09,138,2.04,10,1.02
SS316,209.1,51.4,5.23,261,2.54,11,0.8
Alloy Steel,217.7,52.1,5.77,395,3.86,8,1.04
Inconel,230.8,46.8,4.75,630,3.35,2,0.96
Inconel,204.7,27.2,6.74,606,2.03,6,0.57
Alloy Steel,253.4,45.9,6.19,364,3.65,9,1.02
SS304,191.7,46.7,4.65,454,3.59,11,1.02
SS304,234.4,41.2,6.39,557,1.67,11,0.8
Inconel,224.6,51.4,5.04,337,2.72,11,0.81
SS304,188.7,51.3,4.72,146,3.86,12,0.89
SS316,222.0,30.4,6.11,213,1.84,9,0.62
Carbon Steel,198.7,30.8,4.94,403,3.09,14,1.24
Alloy Steel,174.3,43.5,5.35,479,4.09,8,1.07
SS316,262.3,27.3,4.84,517,2.73,2,1.01
Inconel,147.9,25.9,4.66,691,3.65,7,0.9
Carbon Steel,214.9,51.3,6.57,259,2.89,7,0.9
Inconel,149.9,42.4,6.07,156,3.4,7,0.45
Carbon Steel,141.1,25.3,5.4,393,1.57,10,0.97
SS316,165.2,50.2,4.23,287,1.54,14,0.86
Carbon Steel,172.5,41.0,4.72,405,1.97,9,1.14
SS304,147.4,26.8,4.99,637,3.42,2,0.9
SS316,177.0,40.8,5.55,654,3.15,1,0.82
Alloy Steel,277.8,25.9,6.8,474,3.18,4,0.97
Inconel,256.0,49.7,4.69,520,2.37,1,0.92
SS304,176.8,42.3,6.01,198,1.95,14,0.63
Alloy Steel,194.0,46.4,4.38,683,1.54,12,1.25
Carbon Steel,275.9,46.5,5.04,291,2.85,8,1.26
SS304,179.6,38.1,5.12,143,3.52,5,0.75
Alloy Steel,182.7,54.7,4.4,497,2.84,4,1.15
SS316,208.2,49.4,6.68,655,4.23,13,0.83
Carbon Steel,256.9,34.5,6.09,172,2.01,12,1.01
Alloy Steel,268.5,49.5,6.75,628,2.34,13,1.05
Carbon Steel,236.4,45.1,4.62,104,3.76,6,1.2
Alloy Steel,227.3,25.2,4.68,159,2.59,4,1.03
Inconel,146.1,35.5,4.67,488,2.89,7,0.78
SS316,169.4,27.2,5.41,469,1.79,6,0.72
SS304,218.0,52.9,5.18,378,1.77,2,0.82
Alloy Steel,145.5,42.6,4.36,675,1.93,2,1.11
Carbon Steel,237.8,43.7,4.69,381,3.66,1,1.27
SS316,170.4,32.6,5.48,679,4.0,6,0.9
SS304,150.5,38.8,6.52,156,4.47,9,0.57
Carbon Steel,242.1,53.9,4.6,236,2.18,1,1.17
SS316,201.7,44.0,6.21,120,3.28,3,0.56
Carbon Steel,169.5,33.7,6.25,195,1.63,5,0.78
SS316,160.4,26.0,5.42,672,1.85,3,0.77
SS304,187.3,34.3,6.62,249,3.43,4,0.58
SS304,210.7,45.9,5.73,599,1.72,12,0.88
Carbon Steel,214.8,36.4,5.08,472,4.17,8,1.28
SS316,208.5,34.3,6.47,193,2.12,12,0.57
Alloy Steel,193.2,35.1,6.07,545,1.65,10,0.93
SS304,273.4,37.2,5.08,108,1.96,10,0.88
Alloy Steel,252.6,30.4,5.26,313,3.87,10,1.16
Alloy Steel,202.4,31.7,6.09,524,1.96,14,0.97
Inconel,209.7,35.3,4.83,339,1.56,7,0.74
Carbon Steel,250.3,31.8,5.47,314,3.98,4,1.18
Carbon Steel,209.1,31.2,6.12,519,2.24,12,1.08
Carbon Steel,202.9,54.2,6.41,523,2.37,10,1.02
SS316,241.1,30.7,5.35,142,2.67,13,0.8
SS304,194.2,41.9,6.29,356,2.2,4,0.63
SS304,194.0,29.7,6.01,163,3.49,7,0.67
Inconel,178.6,49.0,6.59,461,3.91,3,0.55
Inconel,207.7,40.0,5.04,179,2.63,5,0.67
Inconel,198.3,50.0,6.77,290,3.1,1,0.44
Alloy Steel,162.7,32.5,4.78,411,3.19,10,1.08
Carbon Steel,266.3,52.5,6.62,262,2.7,4,0.96
SS316,176.8,26.2,4.99,546,1.64,11,0.86
SS304,221.0,36.8,5.7,409,3.56,11,0.9
SS316,162.4,36.9,5.71,668,1.71,7,0.75
Carbon Steel,206.7,34.8,6.08,144,4.24,12,1.01
Carbon Steel,217.6,38.5,4.94,278,2.65,10,1.17
SS304,178.5,28.3,5.92,291,3.8,10,0.74
Alloy Steel,217.3,31.9,6.13,419,3.93,1,0.95
Inconel,168.0,40.2,5.95,646,3.01,14,0.74
Alloy Steel,271.8,51.0,5.5,184,2.15,1,0.96
Carbon Steel,176.1,31.8,5.45,399,2.15,4,1.01
Carbon Steel,150.3,43.9,6.26,179,3.06,5,0.8
Alloy Steel,176.5,29.9,5.08,432,3.23,12,1.08
Inconel,204.1,33.0,6.39,288,4.02,3,0.56
Inconel,224.6,45.6,4.25,287,3.41,8,0.92
Carbon Steel,199.5,38.7,5.55,599,3.48,6,1.2
Inconel,233.8,44.3,6.62,604,3.44,2,0.68
Inconel,208.9,48.1,4.78,261,2.23,1,0.7
SS304,149.8,44.2,6.64,101,3.68,7,0.47
SS304,272.6,51.5,4.76,480,3.78,4,1.12
SS316,177.4,39.3,6.34,262,2.06,8,0.53
Alloy Steel,251.1,38.9,5.6,697,2.7,11,1.22
Carbon Steel,154.9,52.2,4.31,358,1.66,2,1.09
Inconel,247.6,27.7,4.75,401,1.56,9,0.86
SS316,246.8,42.5,4.3,392,3.64,12,1.12
SS304,269.6,44.4,5.28,658,3.85,14,1.19
Inconel,276.0,39.0,4.99,357,2.41,7,0.88
Alloy Steel,227.5,54.6,5.59,167,3.98,8,0.99
SS304,151.6,33.8,6.48,558,1.57,10,0.62
Carbon Steel,191.0,35.6,5.85,550,3.54,3,1.1
Inconel,277.2,51.5,5.69,338,2.59,2,0.74
SS316,197.3,51.9,4.62,697,1.86,14,1.04
Carbon Steel,161.7,48.7,5.13,171,4.49,10,1.08
Inconel,197.2,49.7,5.97,573,3.95,9,0.77
Inconel,191.5,42.7,5.51,487,4.42,5,0.78
Inconel,243.0,50.2,6.67,621,2.95,13,0.75
Inconel,161.6,37.0,5.15,435,3.5,10,0.75
Inconel,237.0,25.2,5.31,218,4.23,8,0.79
Carbon Steel,247.6,31.2,6.05,447,2.02,12,1.12
Alloy Steel,152.5,26.7,5.17,532,3.16,1,0.99
Alloy Steel,255.1,41.9,6.71,230,3.64,13,0.92
Carbon Steel,264.8,49.1,4.68,277,3.65,14,1.37
Alloy Steel,278.7,49.1,6.15,576,4.41,13,1.23
SS316,235.2,49.9,4.31,113,2.62,3,0.87
SS316,197.6,52.9,5.09,678,4.23,4,1.0
Carbon Steel,163.6,25.9,5.05,644,1.79,3,1.13
SS316,206.0,29.5,4.89,668,2.6,2,0.96
Carbon Steel,182.6,41.3,4.25,413,3.41,11,1.31
SS316,152.9,38.4,6.8,601,4.18,12,0.69
SS304,219.5,54.4,6.54,671,2.66,10,0.83
Carbon Steel,206.2,45.3,6.47,549,4.32,13,1.13
Inconel,151.2,50.1,4.41,154,2.78,4,0.66
SS316,177.8,40.3,5.34,407,3.52,10,0.82
SS304,175.2,30.0,5.11,545,3.77,5,0.93
Carbon Steel,250.8,54.3,6.25,561,4.07,8,1.21
SS316,208.9,42.0,6.06,165,3.75,5,0.64
Inconel,187.2,42.0,6.36,659,3.75,7,0.71
SS316,166.1,39.6,6.36,670,3.4,4,0.72
SS304,221.1,45.0,5.34,671,3.32,3,1.0
Alloy Steel,185.5,33.8,4.29,589,2.85,14,1.28
Alloy Steel,272.7,39.6,6.56,601,1.94,9,1.03
SS304,272.5,36.9,4.76,324,2.5,5,1.01
SS304,268.0,47.5,6.63,290,4.32,3,0.77
Carbon Steel,246.8,47.8,6.5,537,4.28,11,1.18
Alloy Steel,144.5,43.7,5.28,436,2.79,14,0.99
Carbon Steel,176.4,30.3,4.27,645,1.52,2,1.25
SS316,144.8,46.1,4.93,447,2.11,9,0.78
SS304,210.6,54.3,5.8,661,4.38,3,0.95
Carbon Steel,265.1,33.7,5.66,159,4.27,12,1.18
SS304,141.6,34.0,5.82,381,1.85,13,0.66
Carbon Steel,140.1,47.7,6.76,585,2.88,5,0.87
SS316,205.2,40.4,4.56,304,2.06,6,0.86
SS316,213.7,34.5,4.87,122,3.25,8,0.81
Inconel,238.4,38.6,4.83,626,3.73,3,0.99
Alloy Steel,265.2,53.1,6.3,481,2.41,6,1.0
Inconel,158.1,40.7,5.85,446,2.28,2,0.54
Alloy Steel,222.4,41.7,5.91,398,1.6,14,0.97
SS316,142.4,43.5,4.36,164,3.45,7,0.78
Carbon Steel,162.6,36.2,6.4,596,2.65,10,0.99
SS304,177.2,34.1,4.9,419,3.32,8,0.91
SS316,277.4,35.1,6.03,233,2.28,9,0.76
SS316,234.5,44.0,5.4,433,2.35,11,0.88
Carbon Steel,227.5,32.6,5.94,548,4.25,5,1.19
SS316,245.6,25.6,4.85,634,3.66,13,1.14
SS316,160.4,50.1,4.24,487,2.8,2,0.91
Carbon Steel,172.5,43.7,5.4,123,1.54,14,0.93
SS316,255.8,45.4,4.37,284,2.36,8,0.99
Alloy Steel,269.4,36.9,5.82,567,3.85,11,1.22
Alloy Steel,259.7,50.4,5.45,206,2.93,4,1.01
Alloy Steel,208.6,41.2,4.87,319,2.8,9,1.08
Alloy Steel,256.7,41.6,5.8,384,2.67,11,1.07
SS316,144.7,45.2,5.25,367,4.12,9,0.78
SS304,212.6,29.2,5.53,245,2.05,5,0.73
Alloy Steel,215.9,45.7,5.42,363,2.84,7,1.02
Alloy Steel,215.4,32.5,6.52,299,1.94,4,0.77
SS316,141.9,37.7,4.69,112,3.06,2,0.66
Inconel,264.4,31.8,6.62,530,3.79,3,0.73
SS316,174.3,46.5,5.75,227,4.05,5,0.67
Carbon Steel,274.7,46.7,5.88,537,2.93,4,1.22
Alloy Steel,276.6,34.9,4.51,442,4.22,7,1.36
Carbon Steel,238.0,40.1,4.63,523,2.37,10,1.35
Alloy Steel,241.5,54.0,4.88,111,3.14,9,1.07
Inconel,234.1,43.2,5.28,327,2.65,8,0.77
SS304,260.5,39.2,6.28,448,3.82,2,0.85
Inconel,198.7,25.5,5.15,264,3.02,11,0.73
SS316,184.5,33.0,6.71,196,3.86,13,0.57
SS316,257.5,52.9,5.04,655,3.88,2,1.08
Carbon Steel,270.9,25.4,5.73,400,4.12,11,1.27
Carbon Steel,177.9,34.1,5.54,528,4.28,4,1.15
SS316,145.9,39.1,5.23,286,2.85,12,0.71
SS316,225.6,48.4,6.07,398,1.62,11,0.72
SS316,227.3,49.9,5.14,358,2.73,7,0.87
Alloy Steel,269.6,49.9,4.48,164,2.78,7,1.17
Inconel,273.8,45.0,4.35,494,4.15,12,1.14
Alloy Steel,189.6,49.6,6.23,426,1.96,6,0.83
SS304,258.4,52.3,6.33,176,4.49,2,0.75
Alloy Steel,239.9,25.1,4.32,102,3.44,12,1.18
SS316,276.7,33.4,6.68,132,3.63,11,0.69
Alloy Steel,199.8,41.6,4.41,574,2.77,5,1.22
Carbon Steel,175.5,53.7,4.27,219,2.23,10,1.15
SS316,253.7,34.0,5.63,274,3.34,13,0.87
Inconel,152.5,45.8,4.63,571,2.25,6,0.79
Alloy Steel,249.3,33.6,5.25,543,4.41,9,1.27
SS316,238.7,52.2,5.33,392,4.28,14,0.99
Carbon Steel,208.9,40.9,4.72,270,3.8,9,1.23
Carbon Steel,201.0,27.2,6.24,326,1.8,4,0.89
Alloy Steel,243.8,43.0,4.35,566,2.65,14,1.36
SS316,193.2,49.6,5.15,460,3.32,12,0.91
Inconel,275.9,41.6,4.68,178,3.27,3,0.86
SS304,165.0,40.4,6.32,566,3.87,10,0.78
Carbon Steel,175.6,50.9,6.52,216,1.89,5,0.77
SS304,183.3,42.1,4.84,398,3.93,5,0.93
Inconel,216.4,26.5,6.14,403,3.44,8,0.67
Alloy Steel,227.7,33.6,6.72,465,2.7,1,0.84
Carbon Steel,276.2,29.6,4.9,454,3.33,9,1.38
SS304,251.1,48.6,4.82,273,4.31,4,1.01
Carbon Steel,217.5,36.5,4.61,485,3.11,7,1.31
SS304,202.8,43.0,5.05,568,4.02,4,1.0
SS316,244.5,50.4,5.18,277,4.17,9,0.93
SS316,233.8,54.7,5.92,540,2.67,10,0.86
Alloy Steel,203.8,35.3,6.0,555,4.06,2,1.02
Inconel,161.6,33.0,4.86,468,4.34,9,0.84
Carbon Steel,140.1,43.0,4.94,628,2.48,10,1.18
Inconel,204.3,32.6,5.16,112,3.07,13,0.69
SS304,204.5,25.6,4.24,412,3.59,8,1.07
Alloy Steel,199.4,35.8,6.28,414,3.22,14,0.95
SS316,252.8,29.0,6.06,361,2.38,12,0.79
SS316,209.8,53.8,6.11,548,2.26,7,0.75
Alloy Steel,174.3,26.5,6.41,105,4.31,10,0.77
Carbon Steel,214.7,29.2,4.27,578,3.3,3,1.38
Inconel,225.7,30.0,5.57,454,2.39,11,0.77
SS304,250.6,31.5,4.37,419,1.69,9,1.06
Inconel,200.4,38.6,5.53,527,2.32,7,0.73
SS316,253.1,30.0,6.02,568,2.49,5,0.85
Alloy Steel,226.8,41.3,6.12,523,3.1,6,1.01
SS316,278.9,27.7,4.53,595,4.09,14,1.26
SS316,149.9,51.8,4.28,549,3.78,2,0.95
SS304,147.6,42.9,5.31,298,1.77,9,0.68
Carbon Steel,222.9,49.6,6.35,139,2.01,9,0.88
Carbon Steel,266.8,37.3,6.68,619,2.39,13,1.15
SS304,193.5,41.3,5.42,176,3.45,4,0.74
Alloy Steel,211.4,28.1,6.43,285,4.41,4,0.88
Inconel,141.2,30.7,6.65,412,4.49,4,0.49
Alloy Steel,259.0,38.0,6.61,454,3.39,14,1.03
Inconel,204.4,30.8,4.78,262,2.85,12,0.8
Carbon Steel,266.3,28.8,6.34,345,4.47,9,1.15
SS316,141.4,45.3,5.44,196,2.46,3,0.56
SS316,252.4,29.2,6.22,475,2.73,9,0.81
Alloy Steel,209.4,25.5,5.07,210,3.54,10,1.05
SS304,206.3,30.8,4.74,496,4.23,2,1.02
Inconel,198.4,53.9,4.26,283,3.5,3,0.84
SS316,159.6,35.4,5.21,406,4.29,4,0.8
Alloy Steel,267.6,53.0,5.49,103,1.83,8,0.95
SS304,266.4,53.9,5.9,602,3.08,12,1.02
Carbon Steel,213.5,41.7,6.13,231,2.6,4,0.92
SS304,274.3,38.3,6.16,550,2.3,1,0.86
Carbon Steel,198.7,39.6,4.87,417,2.37,6,1.17
Alloy Steel,264.8,50.4,6.78,507,4.31,11,1.06
SS304,184.6,51.8,5.49,460,2.04,10,0.81
Alloy Steel,178.5,46.9,6.36,528,3.69,14,0.97
Carbon Steel,202.2,42.7,4.56,102,2.24,9,1.1
SS316,197.9,38.9,4.87,536,1.72,7,0.89
SS316,142.0,48.2,6.48,468,2.06,7,0.53
Carbon Steel,223.7,25.4,5.12,185,4.27,6,1.16
Inconel,194.3,31.8,6.4,285,4.48,12,0.62
Inconel,149.6,53.7,4.7,629,3.93,12,0.92
SS316,144.5,47.3,4.55,179,1.57,3,0.65
SS316,163.2,54.5,4.45,453,3.38,2,0.89
SS304,241.9,27.8,5.91,290,3.75,2,0.8
SS304,246.7,54.2,4.3,271,2.09,2,0.97
SS316,235.0,31.9,5.52,632,3.58,2,0.94
Inconel,163.2,46.9,5.56,688,3.16,5,0.76
SS304,224.5,29.4,6.28,613,2.95,8,0.86
Carbon Steel,208.1,31.7,4.71,199,3.83,10,1.21
SS304,245.3,27.4,5.91,111,4.0,9,0.79
SS304,212.2,32.8,6.08,292,3.67,1,0.71
SS304,245.3,25.9,4.94,399,1.64,14,0.98
Alloy Steel,146.7,37.2,6.03,236,3.89,7,0.8
Carbon Steel,230.4,28.5,6.67,234,4.5,6,0.97
SS316,248.0,25.1,6.51,262,3.5,13,0.73
Inconel,244.8,48.8,4.73,675,3.01,3,1.0
Inconel,184.5,35.8,5.94,479,2.2,11,0.64
SS316,240.3,35.3,6.25,303,3.96,11,0.78
Alloy Steel,234.0,30.9,5.95,251,1.56,5,0.86
Inconel,153.6,35.5,6.38,140,4.33,7,0.45
SS304,232.1,26.9,4.63,280,3.12,4,0.96
Inconel,230.2,47.7,4.51,599,3.62,11,1.06
Carbon Steel,229.0,29.7,6.08,533,3.5,4,1.13
Carbon Steel,147.7,53.6,4.53,518,3.02,4,1.19
SS316,188.0,30.5,4.48,681,2.1,3,0.98
Alloy Steel,274.6,41.5,6.27,126,3.2,6,0.91
Alloy Steel,231.1,39.3,6.42,382,4.11,3,0.94
Inconel,217.0,27.9,4.54,506,3.53,14,1.0
Alloy Steel,239.7,39.8,6.43,162,2.85,13,0.87
Alloy Steel,218.0,46.3,4.55,588,3.32,2,1.24
Inconel,204.4,28.5,5.95,359,3.95,2,0.65
Carbon Steel,145.4,47.6,5.57,321,1.7,1,0.86
SS304,278.6,47.3,6.12,248,4.0,3,0.83
SS316,154.0,53.0,5.17,148,2.66,4,0.62
Carbon Steel,211.9,45.8,4.34,270,3.96,14,1.33
Alloy Steel,176.0,30.3,6.0,605,2.94,12,1.01
Alloy Steel,161.4,27.0,4.76,176,2.44,8,0.93
Inconel,233.5,41.1,6.26,396,2.4,9,0.64
SS316,206.3,37.4,6.39,238,1.52,14,0.58
SS304,253.0,33.8,4.86,471,3.11,10,1.08
Inconel,209.3,43.3,4.91,530,3.28,2,0.85
Inconel,141.4,39.4,5.28,164,4.27,1,0.56
SS304,220.8,51.2,6.45,322,2.13,11,0.68
SS304,198.9,54.1,4.35,454,4.07,4,1.06
Alloy Steel,142.8,43.7,5.92,286,2.46,1,0.73
Inconel,272.9,49.8,5.11,643,4.45,12,1.1
Carbon Steel,176.5,41.4,4.69,119,4.34,1,1.08
Carbon Steel,196.5,46.1,5.65,611,2.45,3,1.11
Inconel,244.2,51.9,6.61,327,2.02,2,0.52
SS304,220.8,44.7,4.71,334,4.34,3,0.99
SS316,162.2,52.7,4.21,636,4.15,4,1.05
SS304,204.1,42.1,6.0,455,4.14,13,0.88
SS304,196.0,45.7,6.56,178,3.21,9,0.6
SS316,235.0,44.8,5.8,609,2.94,9,0.91
SS304,257.0,47.7,6.16,410,4.17,11,0.92
SS316,214.6,29.1,5.74,288,1.66,10,0.7
Inconel,229.8,51.3,5.96,314,3.04,13,0.7
SS316,262.8,36.9,5.41,616,3.07,13,1.05
Carbon Steel,270.4,36.9,6.68,521,1.63,4,1.02
SS316,150.0,46.2,4.29,605,2.9,1,0.93
SS304,256.4,25.5,4.91,101,2.75,12,0.92
Inconel,152.0,27.8,4.9,478,3.09,12,0.79
SS316,248.5,42.2,6.01,654,3.64,2,0.91
SS304,204.6,34.3,5.47,563,2.01,1,0.83
SS316,143.2,29.0,5.9,581,4.46,10,0.79
Inconel,202.9,37.7,4.86,323,1.82,7,0.73
Inconel,152.5,50.8,6.31,120,1.77,9,0.35
Carbon Steel,151.5,34.0,4.78,431,2.57,12,1.15
Inconel,191.6,26.4,4.98,418,2.72,9,0.79
SS304,244.1,31.5,4.36,193,2.83,8,0.99
Inconel,226.5,46.6,5.22,642,3.18,12,0.95
Inconel,247.7,45.7,6.13,540,2.91,3,0.73
SS304,215.1,53.7,5.73,106,1.68,4,0.62
SS304,178.2,51.2,6.19,317,3.7,13,0.73
Inconel,250.5,41.0,4.96,493,3.42,10,0.96
Inconel,260.5,53.6,5.3,203,3.95,9,0.82
SS316,214.0,47.6,5.34,547,2.11,3,0.84
Inconel,230.5,26.0,6.51,484,3.43,12,0.71
Carbon Steel,202.7,50.5,6.22,272,2.47,14,0.97
Carbon Steel,271.6,36.5,5.36,253,3.48,10,1.23
Carbon Steel,250.1,28.6,4.5,222,1.75,7,1.21
Carbon Steel,233.9,39.1,5.1,617,4.06,5,1.35
Inconel,162.7,47.2,5.33,243,3.36,5,0.61
SS316,272.0,30.4,5.92,503,2.26,14,0.92
SS304,256.9,47.9,5.06,420,1.69,5,0.94
Inconel,149.1,43.8,5.28,473,2.13,12,0.68
Alloy Steel,237.1,53.2,5.64,460,4.43,13,1.18
Inconel,164.5,34.8,4.72,480,3.21,10,0.83
Carbon Steel,234.0,54.7,4.44,500,2.35,9,1.35
Alloy Steel,244.2,50.0,5.11,137,3.37,12,1.08
Inconel,177.1,50.1,5.05,392,4.32,4,0.78
SS316,226.9,49.6,6.18,692,1.52,6,0.79
SS316,248.7,31.8,4.26,330,1.92,4,0.97
Alloy Steel,145.4,33.3,6.37,276,1.67,5,0.65
SS304,199.8,53.0,4.94,356,1.81,7,0.84
Alloy Steel,268.1,37.4,5.3,521,4.33,13,1.31
SS316,229.1,36.8,4.98,494,4.0,13,1.05
Alloy Steel,166.1,40.3,5.58,625,2.89,3,1.0
Carbon Steel,142.7,40.1,5.73,306,3.51,13,0.99
Carbon Steel,248.3,39.2,5.11,316,4.06,1,1.22
SS304,275.9,54.5,5.71,100,4.2,5,0.85
Alloy Steel,143.5,36.3,6.53,264,2.32,1,0.62
Alloy Steel,216.4,35.1,4.85,456,2.12,13,1.16
Alloy Steel,168.6,53.0,4.89,189,1.77,12,0.93
Alloy Steel,233.0,32.4,6.45,361,1.63,12,0.88
SS304,254.3,47.8,4.88,247,4.4,6,1.01
SS316,228.7,31.7,4.34,469,1.64,4,0.97
Inconel,239.0,42.6,5.03,432,3.69,7,0.9
SS304,175.6,34.2,6.37,285,2.73,2,0.57
SS316,200.6,30.9,5.63,169,1.57,4,0.59
SS316,181.4,53.4,6.77,384,3.91,8,0.61
SS316,211.2,38.9,6.67,666,3.84,1,0.75
Alloy Steel,233.0,28.9,5.86,563,4.08,13,1.17
SS304,235.8,25.6,6.04,481,1.95,1,0.76
SS316,257.2,25.8,6.37,184,4.16,13,0.76
Inconel,187.6,40.1,5.4,194,3.27,11,0.66
Inconel,196.5,37.0,4.64,329,4.11,4,0.84
Carbon Steel,209.1,28.5,5.34,605,3.29,5,1.23
SS316,195.0,25.1,4.91,458,3.9,12,0.97
SS304,157.8,48.5,6.72,292,1.61,10,0.49
Alloy Steel,200.0,47.8,5.17,246,3.69,1,0.98
Carbon Steel,218.1,32.6,4.56,231,3.23,10,1.23
SS316,251.8,38.0,6.59,370,3.73,13,0.78
Alloy Steel,239.1,51.1,5.2,288,2.64,6,1.05
SS304,236.4,33.5,5.45,126,3.95,2,0.8
SS304,141.5,30.1,5.9,467,3.86,4,0.72
Carbon Steel,157.7,47.0,4.9,369,4.15,7,1.16
Carbon Steel,203.4,51.4,5.3,603,3.27,5,1.23
SS316,208.4,51.7,6.4,278,3.87,6,0.65
Alloy Steel,150.2,28.0,5.28,283,4.28,11,0.98
Inconel,223.2,33.7,4.89,557,2.27,11,0.91
Alloy Steel,214.2,49.9,5.15,160,3.52,4,0.98
SS304,191.8,38.5,5.06,584,1.89,1,0.88
SS304,254.4,40.2,5.49,658,4.17,5,1.08
SS316,153.8,28.5,4.98,675,3.4,8,0.93
Inconel,256.4,51.9,5.28,110,4.09,13,0.81
SS316,177.4,33.3,5.56,358,3.44,4,0.73
SS304,172.3,39.1,5.66,185,3.17,9,0.69
SS304,194.9,33.4,6.62,510,2.29,10,0.69
Alloy Steel,169.7,50.7,4.35,229,4.5,12,1.15
Inconel,238.4,30.5,5.79,535,2.44,12,0.81
Alloy Steel,156.1,37.5,4.88,142,3.13,4,0.89
Alloy Steel,196.4,35.3,5.24,556,2.95,5,1.09
SS316,236.5,54.0,6.28,181,2.54,14,0.68
Alloy Steel,147.5,37.0,4.9,699,2.43,11,1.13
Carbon Steel,185.3,40.4,6.49,313,1.83,6,0.83
Carbon Steel,162.5,35.2,5.07,125,3.29,6,0.99
Alloy Steel,190.6,36.9,4.65,326,3.91,13,1.16
Inconel,239.3,50.6,5.98,110,2.15,2,0.52
Alloy Steel,239.8,36.0,5.08,251,3.23,1,1.04
SS304,168.0,27.9,4.51,569,2.55,3,0.95
SS304,259.2,52.2,5.52,456,3.62,10,1.01
Inconel,203.3,28.1,4.39,377,2.4,9,0.86
SS316,211.3,53.4,5.63,671,2.04,7,0.87
Carbon Steel,257.9,38.9,6.18,414,2.17,5,1.06
Carbon Steel,208.6,34.5,5.07,302,1.87,6,1.08
